No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
69,KOTA COURTS by PADELGRID Mangga Besar,48,30,37.5%,Rp3.585.000,Rp150.000 - Rp285.000
70,United Padel Club,60,51,15.0%,Rp1.500.000,Rp120.000 - Rp180.000
71,Powerhouse Padel AZURE Taman Surya,64,54,15.6%,Rp1.415.000,Rp75.000 - Rp170.000
72,OLA PADEL CLUB,84,62,26.2%,Rp4.185.000,Rp100.000 - Rp260.000
73,MMT Padel,98,94,4.1%,Rp1.200.000,Rp230.000 - Rp350.000
74,Clubhouse Meruya,112,102,8.9%,Rp2.450.000,Rp195.000 - Rp245.000
75,Angke Padel,96,74,22.9%,Rp3.000.000,Rp75.000 - Rp150.000
76,DAAN MOGOT PADEL COURT,84,75,10.7%,Rp3.850.000,Rp125.000 - Rp500.000
77,Kaia Padel Reserve,70,37,47.1%,Rp5.072.000,Rp99.000 - Rp200.000
78,Tangkas Padel,48,40,16.7%,Rp1.850.000,Rp150.000 - Rp300.000
79,Cosmo Padel,32,21,34.4%,Rp2.056.000,Rp128.000 - Rp275.000
80,MAISON de PADEL,14,11,21.4%,Rp1.350.000,Rp275.000 - Rp450.000
81,Di Atas Social Club - Lippo Mall Puri,117,110,6.0%,Rp1.905.000,Rp195.000 - Rp280.000
82,Commune Courts,90,66,26.7%,Rp4.600.000,Rp100.000 - Rp300.000
83,EL WILLY PADEL,32,32,0.0%,Rp0,Rp250.000 - Rp380.000
84,Dash Padel House,75,54,28.0%,Rp3.786.000,Rp100.000 - Rp249.000
85,Citra Padel Club,112,82,26.8%,Rp5.575.000,Rp70.000 - Rp225.000
86,Malta Padel Club,80,61,23.8%,Rp3.700.000,Rp150.000 - Rp200.000
87,Gru Padel House,14,8,42.9%,Rp1.308.000,Rp168.000 - Rp228.000
88,De Luz Padel,98,61,37.8%,Rp5.080.000,Rp80.000 - Rp180.000
89,Nice Padel,26,21,19.2%,Rp495.000,Rp99.000
90,Golcindo Padel Club,32,20,37.5%,Rp1.318.000,Rp59.000 - Rp149.000
91,Mono House,30,23,23.3%,Rp1.475.000,Rp125.000 - Rp225.000
92,Seven Stars Arena,56,43,23.2%,Rp2.860.000,Rp125.000 - Rp220.000
93,Deuce Arena,105,57,45.7%,Rp3.582.000,Rp39.000 - Rp250.000
94,Alley Social Padel Mahjong By Homeground,60,42,30.0%,Rp4.300.000,Rp75.000 - Rp300.000
95,SERA COMMUNITY CLUB,24,20,16.7%,Rp1.600.000,Rp165.000 - Rp400.000
