No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
39,CPH Citra Padel House,45,41,8.9%,Rp680.000,Rp75.000 - Rp170.000
40,Vamos Arena Indonesia,160,128,20.0%,Rp9.800.000,Rp200.000 - Rp400.000
41,Playfieldcourt - Palmerah,64,40,37.5%,Rp8.130.000,Rp110.000 - Rp495.000
42,The Level 9 Padel,176,162,8.0%,Rp2.075.000,Rp125.000 - Rp150.000
43,Como Padel Court,56,47,16.1%,Rp1.800.000,Rp99.000 - Rp200.000
44,World Padel,45,39,13.3%,Rp1.200.000,Rp50.000 - Rp225.000
45,Padelin,48,34,29.2%,Rp1.820.000,Rp70.000 - Rp200.000
46,Courtyard Padel Club,91,75,17.6%,Rp5.255.000,Rp165.000 - Rp650.000
47,Padel On Mars,26,21,19.2%,Rp675.000,Rp115.000 - Rp135.000
48,Padel Meruya Airdome,90,66,26.7%,Rp8.976.000,Rp349.000 - Rp399.000
49,Hachi Padel Puri Indah Jakarta,60,36,40.0%,Rp6.912.000,Rp288.000
50,JC Padel Kedoya,26,18,30.8%,Rp1.800.000,Rp140.000 - Rp380.000
51,Tennis Padel Matic Mal Ciputra,60,45,25.0%,Rp1.320.000,Rp88.000
52,Paddle Padel,32,14,56.2%,Rp3.300.000,Rp150.000 - Rp200.000
53,Roots Padel House,15,11,26.7%,Rp647.000,Rp149.000 - Rp200.000
54,Coco Padel Court Jakarta,42,33,21.4%,Rp1.700.000,Rp100.000 - Rp200.000
55,Zplay Padel,48,39,18.8%,Rp1.290.000,Rp65.000 - Rp175.000
56,PPC - Puri Padel Club,28,18,35.7%,Rp2.650.000,Rp225.000 - Rp275.000
57,Donkey Padel,32,28,12.5%,Rp396.000,Rp99.000 - Rp149.000
58,Sunrise Padel - Sunrise Garden,56,41,26.8%,Rp2.490.000,Rp100.000 - Rp199.000
59,Ace Padel Club (APC) - Jalan Panjang Kedoya,78,47,39.7%,Rp7.180.000,Rp100.000 - Rp300.000
60,Padel Quarter,60,43,28.3%,Rp2.910.000,Rp80.000 - Rp380.000
61,ZEN PADEL,28,27,3.6%,Rp99.000,Rp59.000 - Rp99.000
62,Go 2 Padel,30,27,10.0%,Rp180.000,Rp60.000 - Rp150.000
63,YOLO Padel and Lifestyle Slipi,24,18,25.0%,Rp2.250.000,Rp200.000 - Rp375.000
64,"KALMA Social Club - Jl. Panjang, Kedoya",80,62,22.5%,Rp5.582.000,Rp150.000 - Rp399.000
65,Padel V,30,22,26.7%,Rp2.080.000,Rp160.000 - Rp260.000
66,Country Club | Padel & Lounge,30,24,20.0%,Rp1.500.000,Rp200.000 - Rp250.000
67,Social Field,160,143,10.6%,Rp4.383.000,Rp99.500 - Rp299.000
68,PIPC - Play In Padel Collective - Srengseng,96,74,22.9%,Rp5.200.000,Rp100.000 - Rp250.000
69,KOTA COURTS by PADELGRID Mangga Besar,48,0,100.0%,Rp9.270.000,Rp150.000 - Rp285.000
70,United Padel Club,60,47,21.7%,Rp2.340.000,Rp120.000 - Rp180.000
71,Powerhouse Padel AZURE Taman Surya,64,52,18.8%,Rp1.470.000,Rp75.000 - Rp170.000
72,OLA PADEL CLUB,84,63,25.0%,Rp4.210.000,Rp100.000 - Rp260.000
73,MMT Padel,98,83,15.3%,Rp4.220.000,Rp230.000 - Rp350.000
74,Clubhouse Meruya,112,94,16.1%,Rp4.310.000,Rp195.000 - Rp245.000
75,Angke Padel,96,77,19.8%,Rp2.525.000,Rp75.000 - Rp150.000
76,DAAN MOGOT PADEL COURT,84,77,8.3%,Rp2.850.000,Rp125.000 - Rp500.000
77,Kaia Padel Reserve,70,52,25.7%,Rp3.450.000,Rp125.000 - Rp200.000
78,Tangkas Padel,48,38,20.8%,Rp1.950.000,Rp150.000 - Rp300.000
79,Cosmo Padel,32,20,37.5%,Rp2.375.000,Rp128.000 - Rp275.000
80,MAISON de PADEL,14,11,21.4%,Rp1.350.000,Rp275.000 - Rp450.000
81,Di Atas Social Club - Lippo Mall Puri,117,117,0.0%,Rp0,Rp195.000 - Rp280.000
82,Commune Courts,84,70,16.7%,Rp3.400.000,Rp100.000 - Rp300.000
83,EL WILLY PADEL,32,32,0.0%,Rp0,Rp250.000 - Rp380.000
84,Dash Padel House,75,63,16.0%,Rp2.291.000,Rp100.000 - Rp249.000
85,Citra Padel Club,112,73,34.8%,Rp7.250.000,Rp70.000 - Rp225.000
86,Malta Padel Club,80,67,16.2%,Rp2.400.000,Rp150.000 - Rp200.000
87,Gru Padel House,14,9,35.7%,Rp1.080.000,Rp168.000 - Rp228.000
88,De Luz Padel,98,69,29.6%,Rp4.315.000,Rp80.000 - Rp180.000
89,Nice Padel,26,21,19.2%,Rp495.000,Rp99.000
90,Golcindo Padel Club,32,23,28.1%,Rp931.000,Rp59.000 - Rp149.000
91,Mono House,30,17,43.3%,Rp2.425.000,Rp125.000 - Rp225.000
92,Seven Stars Arena,56,18,67.9%,Rp6.080.000,Rp125.000 - Rp220.000
93,Deuce Arena,105,56,46.7%,Rp3.771.000,Rp39.000 - Rp250.000
94,Alley Social Padel Mahjong By Homeground,60,54,10.0%,Rp1.750.000,Rp75.000 - Rp300.000
95,SERA COMMUNITY CLUB,24,19,20.8%,Rp1.765.000,Rp165.000 - Rp400.000
