No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
54,Zplay Padel,54,49,9.3%,Rp815.000,Rp65.000 - Rp175.000
55,PPC - Puri Padel Club,32,28,12.5%,Rp900.000,Rp225.000 - Rp275.000
56,Donkey Padel,36,32,11.1%,Rp496.000,Rp99.000 - Rp149.000
57,Sunrise Padel - Sunrise Garden,64,46,28.1%,Rp2.160.000,Rp120.000
58,Ace Padel Club (APC) - Jalan Panjang Kedoya,90,43,52.2%,Rp11.380.000,Rp100.000 - Rp300.000
59,Padel Quarter,68,62,8.8%,Rp710.000,Rp80.000 - Rp380.000
60,ZEN PADEL,30,30,0.0%,Rp0,Rp59.000 - Rp99.000
61,Go 2 Padel,34,31,8.8%,Rp180.000,Rp60.000 - Rp150.000
62,YOLO Padel and Lifestyle Slipi,32,28,12.5%,Rp1.500.000,Rp300.000 - Rp375.000
63,"KALMA Social Club - Jl. Panjang, Kedoya",90,57,36.7%,Rp9.469.000,Rp150.000 - Rp399.000
64,Padel V,32,28,12.5%,Rp1.040.000,Rp160.000 - Rp260.000
65,Country Club | Padel & Lounge,34,28,17.6%,Rp1.300.000,Rp200.000 - Rp250.000
66,Social Field,176,170,3.4%,Rp1.594.000,Rp99.500 - Rp299.000
67,PIPC - Play In Padel Collective - Srengseng,102,81,20.6%,Rp3.900.000,Rp100.000 - Rp250.000
68,United Padel Club,68,61,10.3%,Rp1.080.000,Rp120.000 - Rp180.000
69,Powerhouse Padel AZURE Taman Surya,72,57,20.8%,Rp1.505.000,Rp75.000 - Rp170.000
70,OLA PADEL CLUB,96,66,31.2%,Rp6.480.000,Rp100.000 - Rp260.000
71,MMT Padel,112,100,10.7%,Rp3.420.000,Rp230.000 - Rp350.000
72,Clubhouse Meruya,120,98,18.3%,Rp3.520.000,Rp160.000
73,Angke Padel,108,94,13.0%,Rp1.950.000,Rp75.000 - Rp150.000
74,DAAN MOGOT PADEL COURT,96,91,5.2%,Rp1.100.000,Rp125.000 - Rp500.000
75,Kaia Padel Reserve,80,61,23.8%,Rp3.500.000,Rp150.000 - Rp200.000
76,Tangkas Padel,54,42,22.2%,Rp1.800.000,Rp150.000 - Rp300.000
77,Cosmo Padel,36,36,0.0%,Rp0,Rp100.000 - Rp275.000
78,MAISON de PADEL,14,14,0.0%,Rp0,Rp275.000 - Rp450.000
79,Di Atas Social Club - Lippo Mall Puri,135,117,13.3%,Rp3.750.000,Rp195.000 - Rp280.000
80,Commune Courts,96,76,20.8%,Rp4.300.000,Rp100.000 - Rp300.000
81,EL WILLY PADEL,36,18,50.0%,Rp5.700.000,Rp250.000 - Rp380.000
82,Dash Padel House,80,66,17.5%,Rp3.386.000,Rp100.000 - Rp249.000
83,Citra Padel Club,138,105,23.9%,Rp5.600.000,Rp70.000 - Rp225.000
84,Malta Padel Club,90,76,15.6%,Rp2.600.000,Rp150.000 - Rp200.000
85,De Luz Padel,112,101,9.8%,Rp1.615.000,Rp80.000 - Rp180.000
86,Nice Padel,28,23,17.9%,Rp495.000,Rp99.000
87,Golcindo Padel Club,36,29,19.4%,Rp773.000,Rp59.000 - Rp149.000
88,Mono House,34,28,17.6%,Rp750.000,Rp125.000 - Rp225.000
89,Seven Stars Arena,64,64,0.0%,Rp0,Rp125.000 - Rp220.000
90,Deuce Arena,112,67,40.2%,Rp2.077.000,Rp39.000 - Rp250.000
91,SERA COMMUNITY CLUB,28,27,3.6%,Rp400.000,Rp165.000 - Rp400.000
