No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
38,Padeloo,54,46,14.8%,Rp1.560.000,Rp150.000 - Rp195.000
39,CPH Citra Padel House,51,37,27.5%,Rp1.715.000,Rp75.000 - Rp170.000
40,Vamos Arena Indonesia,180,97,46.1%,Rp22.200.000,Rp200.000 - Rp400.000
41,Playfieldcourt - Palmerah,76,59,22.4%,Rp7.175.000,Rp110.000 - Rp495.000
42,The Level 9 Padel,198,181,8.6%,Rp2.550.000,Rp125.000 - Rp150.000
43,Como Padel Court,60,51,15.0%,Rp1.699.000,Rp99.000 - Rp200.000
44,World Padel,42,36,14.3%,Rp1.200.000,Rp50.000 - Rp225.000
45,Padelin,54,48,11.1%,Rp1.200.000,Rp70.000 - Rp200.000
46,Courtyard Padel Club,105,92,12.4%,Rp4.020.000,Rp165.000 - Rp650.000
47,Padel On Mars,26,25,3.8%,Rp135.000,Rp115.000 - Rp135.000
48,Padel Meruya Airdome,96,86,10.4%,Rp3.990.000,Rp349.000 - Rp399.000
49,Hachi Padel Puri Indah Jakarta,64,45,29.7%,Rp5.472.000,Rp288.000
50,JC Padel Kedoya,30,25,16.7%,Rp1.180.000,Rp100.000 - Rp380.000
51,Tennis Padel Matic Mal Ciputra,60,34,43.3%,Rp2.080.000,Rp80.000
52,Paddle Padel,36,30,16.7%,Rp1.200.000,Rp150.000 - Rp200.000
53,Roots Padel House,17,15,11.8%,Rp298.000,Rp149.000 - Rp200.000
54,Coco Padel Court Jakarta,48,40,16.7%,Rp1.325.000,Rp100.000 - Rp200.000
55,Zplay Padel,54,46,14.8%,Rp1.025.000,Rp65.000 - Rp175.000
56,PPC - Puri Padel Club,32,24,25.0%,Rp1.950.000,Rp225.000 - Rp275.000
57,Donkey Padel,36,34,5.6%,Rp298.000,Rp99.000 - Rp149.000
58,Sunrise Padel - Sunrise Garden,64,42,34.4%,Rp2.640.000,Rp120.000
59,Ace Padel Club (APC) - Jalan Panjang Kedoya,90,58,35.6%,Rp7.680.000,Rp100.000 - Rp300.000
60,Padel Quarter,68,53,22.1%,Rp2.640.000,Rp80.000 - Rp380.000
61,ZEN PADEL,30,26,13.3%,Rp236.000,Rp59.000
62,Go 2 Padel,34,32,5.9%,Rp120.000,Rp60.000 - Rp150.000
63,YOLO Padel and Lifestyle Slipi,32,28,12.5%,Rp1.500.000,Rp300.000 - Rp375.000
64,"KALMA Social Club - Jl. Panjang, Kedoya",90,67,25.6%,Rp7.777.000,Rp170.000 - Rp399.000
65,Padel V,32,32,0.0%,Rp0,Rp160.000 - Rp260.000
66,Country Club | Padel & Lounge,34,30,11.8%,Rp1.000.000,Rp200.000 - Rp250.000
67,Social Field,176,155,11.9%,Rp4.482.000,Rp99.500 - Rp299.000
68,PIPC - Play In Padel Collective - Srengseng,102,87,14.7%,Rp2.100.000,Rp100.000 - Rp250.000
69,KOTA COURTS by PADELGRID Mangga Besar,54,46,14.8%,Rp1.545.000,Rp100.000 - Rp285.000
70,United Padel Club,68,52,23.5%,Rp2.880.000,Rp120.000 - Rp180.000
71,Powerhouse Padel AZURE Taman Surya,72,70,2.8%,Rp150.000,Rp75.000 - Rp170.000
72,OLA PADEL CLUB,96,66,31.2%,Rp6.550.000,Rp100.000 - Rp260.000
73,MMT Padel,112,112,0.0%,Rp0,Rp230.000 - Rp350.000
74,Clubhouse Meruya,120,93,22.5%,Rp4.320.000,Rp160.000
75,Angke Padel,108,87,19.4%,Rp2.525.000,Rp75.000 - Rp150.000
76,DAAN MOGOT PADEL COURT,96,93,3.1%,Rp850.000,Rp125.000 - Rp500.000
77,Kaia Padel Reserve,80,57,28.7%,Rp3.350.000,Rp125.000 - Rp200.000
78,Tangkas Padel,54,45,16.7%,Rp1.350.000,Rp150.000 - Rp300.000
79,Cosmo Padel,36,24,33.3%,Rp2.475.000,Rp100.000 - Rp275.000
80,MAISON de PADEL,14,12,14.3%,Rp900.000,Rp275.000 - Rp450.000
81,Di Atas Social Club - Lippo Mall Puri,135,133,1.5%,Rp560.000,Rp195.000 - Rp280.000
82,Commune Courts,96,78,18.8%,Rp3.400.000,Rp100.000 - Rp300.000
83,EL WILLY PADEL,36,36,0.0%,Rp0,Rp250.000 - Rp380.000
84,Dash Padel House,80,66,17.5%,Rp3.236.000,Rp100.000 - Rp249.000
85,Citra Padel Club,129,96,25.6%,Rp5.700.000,Rp70.000 - Rp225.000
86,Malta Padel Club,90,72,20.0%,Rp3.400.000,Rp150.000 - Rp200.000
87,Gru Padel House,15,11,26.7%,Rp912.000,Rp168.000 - Rp228.000
88,De Luz Padel,112,83,25.9%,Rp4.510.000,Rp80.000 - Rp180.000
89,Nice Padel,28,28,0.0%,Rp0,Rp99.000
90,Golcindo Padel Club,36,30,16.7%,Rp754.000,Rp59.000 - Rp149.000
91,Mono House,34,29,14.7%,Rp1.125.000,Rp125.000 - Rp225.000
92,Seven Stars Arena,64,64,0.0%,Rp0,Rp125.000 - Rp220.000
93,Deuce Arena,112,70,37.5%,Rp3.076.000,Rp39.000 - Rp250.000
94,Alley Social Padel Club By Homeground,44,40,9.1%,Rp700.000,Rp75.000 - Rp300.000
95,Alley Social Padel Mahjong By Homeground,24,22,8.3%,Rp600.000,Rp75.000 - Rp300.000
96,SERA COMMUNITY CLUB,28,24,14.3%,Rp1.365.000,Rp165.000 - Rp400.000
