No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
26,Terra Padel Court,32,22,31.2%,Rp1.490.000,Rp149.000
27,Tinny Padel,14,6,57.1%,Rp1.063.000,Rp125.000 - Rp188.000
28,Kobana Padel,48,46,4.2%,Rp480.000,Rp200.000 - Rp240.000
29,Padelgrounds,60,8,86.7%,Rp6.072.000,Rp99.000 - Rp120.000
30,Glass House Padel,28,7,75.0%,Rp3.537.000,Rp149.000 - Rp200.000
31,Sini Padel Court,75,40,46.7%,Rp4.515.000,Rp125.000 - Rp129.000
32,Xcite Padel,60,33,45.0%,Rp4.320.000,Rp160.000
33,Hobi Padel Meruya,64,22,65.6%,Rp4.986.000,Rp98.000 - Rp148.000
34,The Padel Point,60,48,20.0%,Rp2.400.000,Rp150.000 - Rp200.000
35,RacketGo Citra 5,64,21,67.2%,Rp6.545.000,Rp125.000 - Rp190.000
36,La Chiquita Padel,28,24,14.3%,Rp800.000,Rp200.000
37,Padre Padel Duri Kosambi,64,56,12.5%,Rp1.200.000,Rp150.000
38,Padeloo,48,5,89.6%,Rp5.829.000,Rp99.000 - Rp195.000
39,CPH Citra Padel House,45,23,48.9%,Rp2.385.000,Rp90.000 - Rp135.000
40,Vamos Arena Indonesia,160,150,6.2%,Rp3.000.000,Rp300.000 - Rp350.000
41,Playfieldcourt - Palmerah,64,29,54.7%,Rp14.705.000,Rp135.000 - Rp495.000
42,The Level 9 Padel,176,162,8.0%,Rp2.000.000,Rp125.000 - Rp150.000
43,Como Padel Court,56,36,35.7%,Rp4.000.000,Rp200.000
44,World Padel,45,34,24.4%,Rp1.850.000,Rp50.000 - Rp225.000
45,Padelin,48,29,39.6%,Rp1.720.000,Rp70.000 - Rp200.000
46,Courtyard Padel Club,91,76,16.5%,Rp3.615.000,Rp195.000 - Rp570.000
47,Padel On Mars,28,23,17.9%,Rp715.000,Rp135.000 - Rp155.000
48,Padel Meruya Airdome,90,88,2.2%,Rp798.000,Rp349.000 - Rp399.000
49,Hachi Padel Puri Indah Jakarta,60,36,40.0%,Rp6.912.000,Rp288.000
50,JC Padel Kedoya,26,14,46.2%,Rp1.950.000,Rp150.000 - Rp300.000
51,Tennis Padel Matic Mal Ciputra,60,56,6.7%,Rp615.000,Rp125.000 - Rp160.000
52,Paddle Padel,32,26,18.8%,Rp1.200.000,Rp200.000
53,Roots Padel House,16,9,43.8%,Rp1.043.000,Rp149.000
54,Coco Padel Court Jakarta,42,34,19.0%,Rp1.300.000,Rp150.000 - Rp200.000
55,Zplay Padel,48,34,29.2%,Rp1.500.000,Rp80.000 - Rp175.000
56,PPC - Puri Padel Club,28,3,89.3%,Rp5.625.000,Rp225.000
57,Donkey Padel,32,29,9.4%,Rp347.000,Rp99.000 - Rp149.000
58,Sunrise Padel - Sunrise Garden,60,47,21.7%,Rp1.937.000,Rp149.000
59,Ace Padel Club (APC) - Jalan Panjang Kedoya,78,42,46.2%,Rp5.606.000,Rp100.000 - Rp159.000
60,Padel Quarter,64,46,28.1%,Rp2.530.000,Rp80.000 - Rp160.000
61,ZEN PADEL,28,21,25.0%,Rp546.000,Rp50.000 - Rp99.000
62,Go 2 Padel,30,23,23.3%,Rp675.000,Rp75.000 - Rp150.000
63,YOLO Padel and Lifestyle Slipi,28,20,28.6%,Rp2.400.000,Rp300.000
64,"KALMA Social Club - Jl. Panjang, Kedoya",80,24,70.0%,Rp19.828.000,Rp170.000 - Rp399.000
65,Padel V,30,23,23.3%,Rp1.470.000,Rp210.000
66,Country Club | Padel & Lounge,30,14,53.3%,Rp3.200.000,Rp200.000
67,Social Field,112,104,7.1%,Rp1.692.000,Rp199.000 - Rp349.000
68,PIPC - Play In Padel Collective - Srengseng,96,72,25.0%,Rp4.100.000,Rp100.000 - Rp250.000
69,KOTA COURTS by PADELGRID Mangga Besar,48,22,54.2%,Rp5.643.000,Rp156.000 - Rp225.000
70,United Padel Club,60,60,0.0%,Rp0,Rp120.000 - Rp200.000
71,Powerhouse Padel AZURE Taman Surya,64,30,53.1%,Rp3.120.000,Rp75.000 - Rp170.000
72,OLA PADEL CLUB,84,54,35.7%,Rp5.140.000,Rp100.000 - Rp260.000
73,MMT Padel,98,95,3.1%,Rp950.000,Rp300.000 - Rp350.000
74,Clubhouse Meruya,112,32,71.4%,Rp16.800.000,Rp195.000 - Rp245.000
75,Angke Padel,96,66,31.2%,Rp2.400.000,Rp75.000 - Rp125.000
76,DAAN MOGOT PADEL COURT,84,55,34.5%,Rp4.100.000,Rp125.000 - Rp500.000
77,Kaia Padel Reserve,75,34,54.7%,Rp8.200.000,Rp200.000
78,Tangkas Padel,48,25,47.9%,Rp2.875.000,Rp125.000
79,Cosmo Padel,32,26,18.8%,Rp900.000,Rp150.000
80,MAISON de PADEL,14,10,28.6%,Rp1.800.000,Rp450.000
81,Di Atas Social Club - Lippo Mall Puri,117,113,3.4%,Rp1.120.000,Rp225.000 - Rp280.000
82,Commune Courts,96,74,22.9%,Rp6.600.000,Rp150.000 - Rp400.000
83,EL WILLY PADEL,32,26,18.8%,Rp2.020.000,Rp250.000 - Rp380.000
84,Dash Padel House,75,58,22.7%,Rp2.987.000,Rp100.000 - Rp199.000
85,Citra Padel Club,105,84,20.0%,Rp3.100.000,Rp70.000 - Rp225.000
86,Malta Padel Club,80,66,17.5%,Rp2.800.000,Rp200.000
87,Gru Padel House,14,11,21.4%,Rp564.000,Rp188.000
88,De Luz Padel,98,69,29.6%,Rp4.065.000,Rp80.000 - Rp180.000
89,Nice Padel,26,10,61.5%,Rp1.714.000,Rp99.000 - Rp125.000
90,Golcindo Padel Club,32,24,25.0%,Rp1.000.000,Rp125.000
91,Mono House,30,13,56.7%,Rp2.425.000,Rp125.000 - Rp225.000
92,Seven Stars Arena,56,48,14.3%,Rp1.000.000,Rp125.000 - Rp220.000
93,Deuce Arena,105,27,74.3%,Rp9.105.000,Rp39.000 - Rp250.000
94,Alley Social Padel Club By Homeground,45,35,22.2%,Rp3.000.000,Rp275.000 - Rp300.000
95,SERA COMMUNITY CLUB,28,24,14.3%,Rp800.000,Rp200.000
