No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
28,Padelgrounds,68,47,30.9%,Rp2.887.000,Rp99.000 - Rp200.000
29,Glass House Padel,45,29,35.6%,Rp3.218.000,Rp90.000 - Rp288.000
30,Sini Padel Court,85,64,24.7%,Rp3.234.000,Rp98.000 - Rp200.000
31,Xcite Padel,68,47,30.9%,Rp4.620.000,Rp160.000 - Rp230.000
32,Hobi Padel Meruya,72,44,38.9%,Rp3.674.000,Rp98.000 - Rp148.000
33,The Padel Point,68,55,19.1%,Rp2.950.000,Rp150.000 - Rp250.000
34,RacketGo Citra 5,72,36,50.0%,Rp5.540.000,Rp125.000 - Rp190.000
35,La Chiquita Padel,32,26,18.8%,Rp1.600.000,Rp200.000 - Rp300.000
36,Padre Padel Duri Kosambi,72,61,15.3%,Rp2.190.000,Rp150.000 - Rp210.000
37,Padeloo,54,45,16.7%,Rp1.685.000,Rp99.000 - Rp195.000
38,CPH Citra Padel House,51,28,45.1%,Rp2.865.000,Rp75.000 - Rp170.000
39,Vamos Arena Indonesia,180,159,11.7%,Rp6.250.000,Rp200.000 - Rp400.000
40,Playfieldcourt - Palmerah,76,50,34.2%,Rp10.110.000,Rp110.000 - Rp495.000
41,The Level 9 Padel,198,174,12.1%,Rp3.600.000,Rp125.000 - Rp150.000
42,Como Padel Court,60,47,21.7%,Rp2.297.000,Rp99.000 - Rp200.000
43,World Padel,45,32,28.9%,Rp2.350.000,Rp50.000 - Rp225.000
44,Padelin,54,40,25.9%,Rp2.150.000,Rp70.000 - Rp200.000
45,Courtyard Padel Club,105,79,24.8%,Rp7.205.000,Rp165.000 - Rp650.000
46,Padel On Mars,28,26,7.1%,Rp310.000,Rp115.000 - Rp155.000
47,Padel Meruya Airdome,96,90,6.2%,Rp2.194.000,Rp349.000 - Rp399.000
48,Hachi Padel Puri Indah Jakarta,64,52,18.8%,Rp3.456.000,Rp288.000
49,JC Padel Kedoya,30,19,36.7%,Rp2.070.000,Rp100.000 - Rp380.000
50,Tennis Padel Matic Mal Ciputra,60,58,3.3%,Rp248.000,Rp96.000 - Rp140.000
51,Paddle Padel,32,15,53.1%,Rp3.150.000,Rp150.000 - Rp200.000
52,Roots Padel House,18,10,44.4%,Rp1.447.000,Rp149.000 - Rp200.000
53,Coco Padel Court Jakarta,48,41,14.6%,Rp1.300.000,Rp100.000 - Rp200.000
54,Zplay Padel,54,41,24.1%,Rp1.615.000,Rp65.000 - Rp175.000
55,PPC - Puri Padel Club,32,20,37.5%,Rp3.050.000,Rp225.000 - Rp275.000
56,Donkey Padel,36,28,22.2%,Rp992.000,Rp99.000 - Rp149.000
57,Sunrise Padel - Sunrise Garden,64,50,21.9%,Rp2.291.000,Rp100.000 - Rp199.000
58,Ace Padel Club (APC) - Jalan Panjang Kedoya,90,55,38.9%,Rp8.100.000,Rp100.000 - Rp300.000
59,Padel Quarter,68,53,22.1%,Rp2.120.000,Rp80.000 - Rp380.000
60,ZEN PADEL,30,28,6.7%,Rp198.000,Rp59.000 - Rp99.000
61,Go 2 Padel,34,29,14.7%,Rp480.000,Rp60.000 - Rp150.000
62,YOLO Padel and Lifestyle Slipi,27,21,22.2%,Rp2.250.000,Rp200.000 - Rp375.000
63,"KALMA Social Club - Jl. Panjang, Kedoya",90,71,21.1%,Rp5.023.000,Rp150.000 - Rp399.000
64,Padel V,32,26,18.8%,Rp1.360.000,Rp160.000 - Rp260.000
65,Country Club | Padel & Lounge,34,25,26.5%,Rp2.000.000,Rp200.000 - Rp250.000
66,Social Field,176,170,3.4%,Rp1.694.000,Rp99.500 - Rp299.000
67,PIPC - Play In Padel Collective - Srengseng,108,92,14.8%,Rp3.350.000,Rp100.000 - Rp250.000
68,KOTA COURTS by PADELGRID Mangga Besar,54,21,61.1%,Rp6.315.000,Rp100.000 - Rp285.000
69,United Padel Club,68,50,26.5%,Rp3.240.000,Rp120.000 - Rp180.000
70,Powerhouse Padel AZURE Taman Surya,72,68,5.6%,Rp300.000,Rp75.000 - Rp170.000
71,OLA PADEL CLUB,96,63,34.4%,Rp6.010.000,Rp100.000 - Rp260.000
72,MMT Padel,112,103,8.0%,Rp2.460.000,Rp230.000 - Rp350.000
73,Clubhouse Meruya,120,85,29.2%,Rp5.600.000,Rp160.000
74,Angke Padel,108,93,13.9%,Rp2.050.000,Rp75.000 - Rp150.000
75,DAAN MOGOT PADEL COURT,96,90,6.2%,Rp2.350.000,Rp125.000 - Rp500.000
76,Kaia Padel Reserve,80,65,18.8%,Rp3.000.000,Rp200.000 - Rp300.000
77,Tangkas Padel,54,33,38.9%,Rp4.050.000,Rp150.000 - Rp300.000
78,Cosmo Padel,36,26,27.8%,Rp2.400.000,Rp100.000 - Rp275.000
79,MAISON de PADEL,14,10,28.6%,Rp1.100.000,Rp275.000 - Rp450.000
80,Di Atas Social Club - Lippo Mall Puri,135,115,14.8%,Rp4.200.000,Rp195.000 - Rp280.000
81,Commune Courts,108,89,17.6%,Rp4.300.000,Rp100.000 - Rp300.000
82,EL WILLY PADEL,36,24,33.3%,Rp3.940.000,Rp250.000 - Rp380.000
83,Dash Padel House,80,75,6.2%,Rp996.000,Rp100.000 - Rp249.000
84,Citra Padel Club,138,116,15.9%,Rp4.150.000,Rp70.000 - Rp225.000
85,Malta Padel Club,90,65,27.8%,Rp4.900.000,Rp150.000 - Rp200.000
86,Gru Padel House,15,12,20.0%,Rp684.000,Rp168.000 - Rp228.000
87,De Luz Padel,112,84,25.0%,Rp4.180.000,Rp80.000 - Rp180.000
88,Nice Padel,28,22,21.4%,Rp594.000,Rp99.000
89,Golcindo Padel Club,36,29,19.4%,Rp953.000,Rp59.000 - Rp149.000
90,Mono House,34,14,58.8%,Rp3.500.000,Rp125.000 - Rp225.000
91,Seven Stars Arena,64,8,87.5%,Rp8.520.000,Rp125.000 - Rp220.000
92,Deuce Arena,112,46,58.9%,Rp6.427.000,Rp39.000 - Rp250.000
93,Alley Social Padel Mahjong By Homeground,68,55,19.1%,Rp2.675.000,Rp75.000 - Rp300.000
94,SERA COMMUNITY CLUB,28,22,21.4%,Rp1.930.000,Rp165.000 - Rp400.000
