No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
40,The Level 9 Padel,198,194,2.0%,Rp600.000,Rp125.000 - Rp150.000
41,Como Padel Court,60,41,31.7%,Rp3.800.000,Rp200.000
42,World Padel,45,35,22.2%,Rp1.700.000,Rp50.000 - Rp225.000
43,Padelin,54,23,57.4%,Rp3.370.000,Rp70.000 - Rp200.000
44,Nordic Courts,96,51,46.9%,Rp8.834.000,Rp99.000 - Rp250.000
45,Courtyard Padel Club,105,69,34.3%,Rp9.150.000,Rp195.000 - Rp570.000
46,Padel On Mars,28,25,10.7%,Rp445.000,Rp135.000 - Rp155.000
47,Padel Meruya Airdome,96,74,22.9%,Rp7.928.000,Rp349.000 - Rp399.000
48,Hachi Padel Puri Indah Jakarta,64,33,48.4%,Rp8.928.000,Rp288.000
49,JC Padel Kedoya,30,13,56.7%,Rp2.500.000,Rp100.000 - Rp300.000
50,Tennis Padel Matic Mal Ciputra,60,55,8.3%,Rp740.000,Rp125.000 - Rp160.000
51,Paddle Padel,36,12,66.7%,Rp4.800.000,Rp200.000
52,Roots Padel House,18,17,5.6%,Rp149.000,Rp149.000
53,Coco Padel Court Jakarta,48,18,62.5%,Rp3.855.000,Rp100.000 - Rp200.000
54,Zplay Padel,54,44,18.5%,Rp1.370.000,Rp80.000 - Rp175.000
55,PPC - Puri Padel Club,32,9,71.9%,Rp5.175.000,Rp225.000
56,Donkey Padel,36,32,11.1%,Rp496.000,Rp99.000 - Rp149.000
57,Sunrise Padel - Sunrise Garden,153,129,15.7%,Rp3.576.000,Rp100.000 - Rp149.000
58,Ace Padel Club (APC) - Jalan Panjang Kedoya,90,51,43.3%,Rp6.201.000,Rp100.000 - Rp159.000
59,Padel Quarter,72,41,43.1%,Rp3.696.000,Rp80.000 - Rp160.000
60,ZEN PADEL,30,23,23.3%,Rp573.000,Rp59.000 - Rp99.000
61,Go 2 Padel,34,26,23.5%,Rp600.000,Rp75.000 - Rp150.000
62,YOLO Padel and Lifestyle Slipi,32,24,25.0%,Rp2.400.000,Rp300.000
63,"KALMA Social Club - Jl. Panjang, Kedoya",90,70,22.2%,Rp5.922.000,Rp150.000 - Rp399.000
64,Padel V,32,25,21.9%,Rp1.470.000,Rp210.000
65,Country Club | Padel & Lounge,34,26,23.5%,Rp1.600.000,Rp200.000
66,Social Field,128,118,7.8%,Rp1.990.000,Rp199.000 - Rp249.000
67,PIPC - Play In Padel Collective - Srengseng,108,71,34.3%,Rp6.910.000,Rp100.000 - Rp250.000
68,United Padel Club,68,60,11.8%,Rp1.200.000,Rp120.000 - Rp200.000
69,Powerhouse Padel AZURE Taman Surya,72,46,36.1%,Rp2.140.000,Rp75.000 - Rp170.000
70,OLA PADEL CLUB,96,75,21.9%,Rp3.175.000,Rp100.000 - Rp260.000
71,MMT Padel,112,110,1.8%,Rp600.000,Rp300.000 - Rp350.000
72,Clubhouse Meruya,120,90,25.0%,Rp6.750.000,Rp195.000 - Rp245.000
73,Angke Padel,108,60,44.4%,Rp3.750.000,Rp75.000 - Rp100.000
74,DAAN MOGOT PADEL COURT,96,77,19.8%,Rp2.850.000,Rp125.000 - Rp500.000
75,Kaia Padel Reserve,85,31,63.5%,Rp10.800.000,Rp200.000
76,Tangkas Padel,54,41,24.1%,Rp1.625.000,Rp125.000
77,Cosmo Padel,36,25,30.6%,Rp1.650.000,Rp100.000 - Rp150.000
78,MAISON de PADEL,14,12,14.3%,Rp900.000,Rp450.000
79,Di Atas Social Club - Lippo Mall Puri,135,117,13.3%,Rp4.600.000,Rp225.000 - Rp280.000
80,Commune Courts,108,98,9.3%,Rp2.700.000,Rp150.000 - Rp400.000
81,EL WILLY PADEL,36,29,19.4%,Rp2.530.000,Rp250.000 - Rp380.000
82,Dash Padel House,80,73,8.8%,Rp1.393.000,Rp100.000 - Rp199.000
83,Citra Padel Club,138,105,23.9%,Rp5.050.000,Rp70.000 - Rp225.000
84,Malta Padel Club,90,82,8.9%,Rp1.600.000,Rp200.000
85,De Luz Padel,112,80,28.6%,Rp3.750.000,Rp80.000 - Rp180.000
86,Nice Padel,28,26,7.1%,Rp250.000,Rp99.000 - Rp125.000
87,Golcindo Padel Club,36,34,5.6%,Rp250.000,Rp125.000
88,Mono House,22,18,18.2%,Rp700.000,Rp125.000 - Rp225.000
89,Seven Stars Arena,64,24,62.5%,Rp5.000.000,Rp125.000 - Rp220.000
90,Deuce Arena,112,22,80.4%,Rp11.572.000,Rp39.000 - Rp250.000
91,SERA COMMUNITY CLUB,32,31,3.1%,Rp200.000,Rp200.000
