No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
63,YOLO Padel and Lifestyle Slipi,28,28,0.0%,Rp0,Rp300.000
64,"KALMA Social Club - Jl. Panjang, Kedoya",80,38,52.5%,Rp13.020.000,Rp170.000 - Rp350.000
65,Padel V,30,26,13.3%,Rp600.000,Rp150.000
66,Country Club | Padel & Lounge,30,19,36.7%,Rp2.200.000,Rp200.000
67,Social Field,112,106,5.4%,Rp1.244.000,Rp199.000 - Rp249.000
68,PIPC - Play In Padel Collective - Srengseng,84,68,19.0%,Rp3.120.000,Rp170.000 - Rp250.000
69,KOTA COURTS by PADELGRID Mangga Besar,48,31,35.4%,Rp3.618.000,Rp156.000 - Rp225.000
70,United Padel Club,60,55,8.3%,Rp600.000,Rp120.000 - Rp200.000
71,Powerhouse Padel AZURE Taman Surya,64,51,20.3%,Rp1.355.000,Rp75.000 - Rp170.000
72,OLA PADEL CLUB,84,60,28.6%,Rp3.420.000,Rp100.000 - Rp260.000
73,MMT Padel,98,81,17.3%,Rp5.300.000,Rp300.000 - Rp350.000
74,Clubhouse Meruya,112,65,42.0%,Rp9.465.000,Rp195.000 - Rp245.000
75,Angke Padel,96,74,22.9%,Rp1.750.000,Rp75.000 - Rp125.000
76,DAAN MOGOT PADEL COURT,84,69,17.9%,Rp2.350.000,Rp125.000 - Rp500.000
77,Kaia Padel Reserve,75,59,21.3%,Rp2.550.000,Rp150.000 - Rp200.000
78,Tangkas Padel,48,41,14.6%,Rp875.000,Rp125.000
79,Cosmo Padel,32,32,0.0%,Rp0,Rp150.000
80,MAISON de PADEL,14,14,0.0%,Rp0,Rp450.000
81,Di Atas Social Club - Lippo Mall Puri,126,117,7.1%,Rp2.300.000,Rp225.000 - Rp280.000
82,Commune Courts,84,69,17.9%,Rp4.550.000,Rp150.000 - Rp400.000
83,EL WILLY PADEL,32,29,9.4%,Rp830.000,Rp250.000 - Rp380.000
84,Dash Padel House,75,43,42.7%,Rp6.269.000,Rp100.000 - Rp199.000
85,Citra Padel Club,114,71,37.7%,Rp5.700.000,Rp70.000 - Rp150.000
86,Malta Padel Club,80,68,15.0%,Rp2.400.000,Rp200.000
87,Gru Padel House,14,13,7.1%,Rp188.000,Rp188.000
88,De Luz Padel,98,82,16.3%,Rp2.550.000,Rp80.000 - Rp180.000
89,Nice Padel,26,10,61.5%,Rp1.584.000,Rp99.000
90,Golcindo Padel Club,32,31,3.1%,Rp125.000,Rp125.000
91,Mono House,30,10,66.7%,Rp3.300.000,Rp125.000 - Rp225.000
92,Seven Stars Arena,56,49,12.5%,Rp1.065.000,Rp125.000 - Rp220.000
93,Deuce Arena,105,28,73.3%,Rp9.166.000,Rp39.000 - Rp250.000
94,Alley Social Padel Club By Homeground,60,54,10.0%,Rp1.750.000,Rp75.000 - Rp300.000
95,SERA COMMUNITY CLUB,28,28,0.0%,Rp0,Rp200.000
