No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
42,World Padel,45,36,20.0%,Rp1.525.000,Rp50.000 - Rp225.000
43,Padelin,54,33,38.9%,Rp1.930.000,Rp70.000 - Rp200.000
44,Nordic Courts,96,64,33.3%,Rp6.943.000,Rp99.000 - Rp250.000
45,Courtyard Padel Club,105,93,11.4%,Rp3.840.000,Rp195.000 - Rp570.000
46,Padel On Mars,26,22,15.4%,Rp580.000,Rp135.000 - Rp155.000
47,Padel Meruya Airdome,96,85,11.5%,Rp3.839.000,Rp349.000 - Rp399.000
48,Hachi Padel Puri Indah Jakarta,64,53,17.2%,Rp3.168.000,Rp288.000
49,JC Padel Kedoya,30,15,50.0%,Rp1.666.665,Rp100.000 - Rp222.222
50,Tennis Padel Matic Mal Ciputra,60,56,6.7%,Rp615.000,Rp125.000 - Rp160.000
51,Paddle Padel,36,12,66.7%,Rp4.800.000,Rp200.000
52,Roots Padel House,17,9,47.1%,Rp1.192.000,Rp149.000
53,Coco Padel Court Jakarta,48,27,43.8%,Rp2.680.000,Rp100.000 - Rp200.000
54,Zplay Padel,54,49,9.3%,Rp400.000,Rp80.000 - Rp175.000
55,PPC - Puri Padel Club,32,17,46.9%,Rp3.375.000,Rp225.000
56,Donkey Padel,36,30,16.7%,Rp644.000,Rp99.000 - Rp149.000
57,Sunrise Padel - Sunrise Garden,68,55,19.1%,Rp1.937.000,Rp149.000
58,Ace Padel Club (APC) - Jalan Panjang Kedoya,90,70,22.2%,Rp3.062.000,Rp100.000 - Rp159.000
59,Padel Quarter,72,49,31.9%,Rp2.848.000,Rp80.000 - Rp150.000
60,ZEN PADEL,30,20,33.3%,Rp670.000,Rp59.000 - Rp99.000
61,Go 2 Padel,34,22,35.3%,Rp1.125.000,Rp75.000 - Rp150.000
62,YOLO Padel and Lifestyle Slipi,32,26,18.8%,Rp1.800.000,Rp300.000
63,"KALMA Social Club - Jl. Panjang, Kedoya",90,84,6.7%,Rp1.496.000,Rp150.000 - Rp350.000
64,Padel V,32,32,0.0%,Rp0,Rp150.000
65,Country Club | Padel & Lounge,34,15,55.9%,Rp4.050.000,Rp200.000 - Rp250.000
66,Social Field,128,117,8.6%,Rp2.489.000,Rp199.000 - Rp249.000
67,PIPC - Play In Padel Collective - Srengseng,96,60,37.5%,Rp6.562.500,Rp170.000 - Rp250.000
68,United Padel Club,68,60,11.8%,Rp1.200.000,Rp120.000 - Rp200.000
69,Powerhouse Padel AZURE Taman Surya,72,53,26.4%,Rp1.520.000,Rp75.000 - Rp170.000
70,OLA PADEL CLUB,96,76,20.8%,Rp3.325.000,Rp100.000 - Rp260.000
71,MMT Padel,112,96,14.3%,Rp5.100.000,Rp300.000 - Rp350.000
72,Clubhouse Meruya,120,77,35.8%,Rp9.435.000,Rp195.000 - Rp245.000
73,Angke Padel,108,64,40.7%,Rp3.500.000,Rp75.000 - Rp100.000
74,DAAN MOGOT PADEL COURT,96,81,15.6%,Rp2.350.000,Rp125.000 - Rp500.000
75,Kaia Padel Reserve,85,56,34.1%,Rp5.300.000,Rp150.000 - Rp200.000
76,Tangkas Padel,54,41,24.1%,Rp1.625.000,Rp125.000
77,Cosmo Padel,36,29,19.4%,Rp1.050.000,Rp100.000 - Rp150.000
78,MAISON de PADEL,14,11,21.4%,Rp1.350.000,Rp450.000
79,Di Atas Social Club - Lippo Mall Puri,135,113,16.3%,Rp5.500.000,Rp225.000 - Rp280.000
80,Commune Courts,96,86,10.4%,Rp2.850.000,Rp150.000 - Rp400.000
81,EL WILLY PADEL,36,16,55.6%,Rp6.460.000,Rp250.000 - Rp380.000
82,Dash Padel House,80,53,33.8%,Rp5.076.000,Rp100.000 - Rp199.000
83,Citra Padel Club,138,114,17.4%,Rp3.575.000,Rp70.000 - Rp150.000
84,Malta Padel Club,90,78,13.3%,Rp2.400.000,Rp200.000
85,De Luz Padel,112,94,16.1%,Rp2.910.000,Rp80.000 - Rp180.000
86,Nice Padel,28,15,46.4%,Rp1.287.000,Rp99.000
87,Golcindo Padel Club,36,34,5.6%,Rp250.000,Rp125.000
88,Mono House,34,14,58.8%,Rp2.900.000,Rp125.000 - Rp225.000
89,Seven Stars Arena,64,50,21.9%,Rp2.510.000,Rp125.000 - Rp220.000
90,Deuce Arena,112,27,75.9%,Rp10.222.000,Rp39.000 - Rp250.000
91,SERA COMMUNITY CLUB,32,24,25.0%,Rp1.600.000,Rp200.000
